Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Czech Republic;05/02/2020;53;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;04/02/2020;53;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;03/02/2020;48;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;02/02/2020;43;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;01/02/2020;38;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;31/01/2020;47;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;30/01/2020;34;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;29/01/2020;33;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;28/01/2020;28;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;27/01/2020;20;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
