Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Croatia,23/03/2020,2757,https://www.koronavirus.hr/najnovije/ukupno-dosad-315-zarazenih-osoba-u-hrvatskoj/35,Vlada Republike Hrvatske,,,,
Croatia,19/03/2020,1264,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-19-ozujka-2020-u-10-30-sati/2273,Ravnateljstvo civilne zaštite,19/03/2020,,,
Croatia,18/03/2020,1181,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-18-ozujka-2020-u-19-00-sati/2268,Ravnateljstvo civilne zaštite,18/03/2020,,,
Croatia,17/03/2020,1109,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-17-ozujka-2020-u-19-sati/2264,Ravnateljstvo civilne zaštite,17/03/2020,,,
Croatia,16/03/2020,880,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-16-ozujka-2020-u-17-i-30-sati/2261,Ravnateljstvo civilne zaštite,16/03/2020,,,
Croatia,15/03/2020,745,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-15-ozujka-2020-u-17-sati/2259,Ravnateljstvo civilne zaštite,15/03/2020,,,
Croatia,14/03/2020,649,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-14-ozujka-2020-u-18-30-sati/2257,Ravnateljstvo civilne zaštite,14/03/2020,,,
Croatia,13/03/2020,553,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-13-ozujka-2020-2255/2255,Ravnateljstvo civilne zaštite,13/03/2020,,,
Croatia,12/03/2020,483,https://civilna-zastita.gov.hr/vijesti/priopcenje-za-medije-stozera-civilne-zastite-republike-hrvatske-od-12-ozujka-2020/2252,Ravnateljstvo civilne zaštite,12/03/2020,,,
