Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Lithuania;23/03/2020;2361;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;23/03/2020;;;
Lithuania;22/03/2020;2083;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;23/03/2020;;;Subtracted 'yesterday examined'
Lithuania;18/03/2020;935;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;18/03/2020;https://web.archive.org/web/20200319043307/https://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
Lithuania;17/03/2020;742;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;17/03/2020;https://web.archive.org/web/20200317210957/http://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
Lithuania;16/03/2020;624;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;16/03/2020;https://web.archive.org/web/20200316153451/https://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
Lithuania;13/03/2020;366;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;13/03/2020;https://web.archive.org/web/20200313222717/https://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
Lithuania;04/03/2020;226;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;04/03/2020;https://web.archive.org/web/20200304175853/http://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
Lithuania;28/02/2020;76;https://sam.lrv.lt/lt/naujienos/koronavirusas;Lietuvos Respublikos sveikatos apsaugos ministerija;28/02/2020;https://web.archive.org/web/20200228132941/http://sam.lrv.lt/lt/naujienos/koronavirusas;23/03/2020;
