Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Sweden,15/03/2020,14300,https://www.folkhalsomyndigheten.se/contentassets/1c5ad5e0d25340d88cf2bdb6e41510f8/covid-19-veckorapport-vecka-11-2020.pdf,Folkhalsomyndigheten,,,,Minimum.
Sweden,08/03/2020,5200,https://www.folkhalsomyndigheten.se/contentassets/1c5ad5e0d25340d88cf2bdb6e41510f8/covid-19-veckorapport-vecka-11-2020.pdf,Folkhalsomyndigheten,,,,Subtraced 9100 tests in week 11.
Sweden,01/03/2020,1000,https://www.folkhalsomyndigheten.se/contentassets/1c5ad5e0d25340d88cf2bdb6e41510f8/covid-19-veckorapport-vecka-11-2020.pdf,Folkhalsomyndigheten,,,,Subtraced 9100 tests in week 11 and 4200 tests in week 10.
