Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Ireland,17/03/2020,6636,https://www.rte.ie/news/coronavirus/2020/0317/1123663-coronavirus-ireland/,RTE,17/03/2020,,,
Ireland,10/03/2020,1784,https://www.gov.ie/en/press-release/a4016f-statement-from-the-national-public-health-emergency-team-tuesday-10-/,National Public Health Emergency Team,10/03/2020,,,
Ireland,03/03/2020,397,https://www.gov.ie/en/press-release/e78fda-statement-from-the-national-public-health-emergency-team-tuesday-3-m/,National Public Health Emergency Team,03/03/2020,,,
Ireland,25/02/2020,90,https://www.gov.ie/en/press-release/b45400-statement-from-the-national-public-health-emergency-team/,National Public Health Emergency Team,25/02/2020,,,
Ireland,18/02/2020,78,https://www.gov.ie/en/publication/ce3fe8-previous-updates-on-covid-19-coronavirus/,National Public Health Emergency Team,18/02/2020,,,
Ireland,11/02/2020,65,https://www.gov.ie/en/press-release/d41a2c-statement-from-the-national-public-health-emergency-team-tuesday-11-/,National Public Health Emergency Team,11/02/2020,,,
